,아이디,날짜,맛평점,양평점,배달평점,리뷰
1068,na**님,2019년 6월 20일,4,4,4,첨 시켜봤는데 양도그렇고 맛도 좋았습니다.
1069,   손님,2019년 6월 19일,5,5,5,역시맛있음.. 믿먹족
1070,19**님,2019년 6월 18일,3,4,5,"배달이 빨랐네요.
맛은 평범했구요. 따뜻해서 느끼했습니다"
1071,   손님,2019년 6월 15일,5,5,5,완전맛잏구만~~~~~~요
1072,   손님,2019년 6월 15일,5,5,5,맛있게 잘먹겠습니다! 역시 미소만족~
1073,rl**님,2019년 6월 14일,5,5,5,양도 적당하고 잘먹었습니다~~
1074,   손님,2019년 6월 13일,5,5,5,간단하게 먹기에 좋았어요
1075,du**님,2019년 6월 11일,3,3,4,그냥 저냥 흔히 먹을수 있는 불족발 맛입니다. 가격에 비해 그렇게 막 엄청 맛있다 정도는 아니고 평타치는 맛 배달은 꽤 빨리오네요
1076,60**님,2019년 6월 10일,5,5,5,미니 불 족발이 발톱부분이나 뼈에 붙은 살인줄 모르고 주문했네요 ㅠㅠ 하지만 너무너무 맛있었슴니다! 막국수도 무지 맛있었구 묵사발이 진짜 예술입니다 목구멍에 호로록 넘어가요 ㅠㅠ 쵝오....다음엔 중짜로 시키겟슴다!
1077,   손님,2019년 6월 9일,5,5,5,"대박 
굿이네요
냄세도 좋구요
맛있게 먹겠습니다"
1078,ds**님,2019년 6월 9일,5,5,5,항상 맛있고 잘 먹고있어요!!
1079,   손님,2019년 6월 9일,5,5,5,맛있게잘먹었습니다.
1080,mi**님,2019년 6월 8일,5,5,5,"배달도 엄청 빠르고, 깔끔하게 포장돼서 왔어요~~맛있습니다!!!"
1081,we**님,2019년 6월 8일,5,5,5,"오랜만에 시키지만 여전히 믿고 먹습니다.
배달 하시는분도 친절하시고 좋아요"
1082,   손님,2019년 6월 8일,5,5,5,맛있게 잘 먹었습니다! 요청사항도 들어주셔서 감사합니다!
1083,sp**님,2019년 6월 7일,5,5,5,맛있네요. 족발도 족발인데 밑반찬도 정말 맛있습니다.
1084,   손님,2019년 6월 6일,5,5,5,"족발맛은 말할 필요도 없을 정도로 맛있습니다

사이드로 주먹밥 막국수 시켰는데 이거만 따로해서 음식점 하나 차려도 될 정도의 맛입니다

양도 전체적으로 상당히 많습니다

다음에 족발 시킬일 있으면 또 시킬게요"
1085,lg**님,2019년 6월 6일,5,5,5,배달빠르고 존맛탱 양도많음
1086,   손님,2019년 6월 5일,5,5,5,"늘 잘 먹고 있어요
밑반찬이 항상 남고 필요가 없어서 
소스 교체를 부탁드리는데
해주셔서 감사합니다!
점심 넘어서 시켰는데
아마 제가 첫 배달이였을거에요
첫 족발은 원래 색이 좀 덜 진한가요?
맛은 같았지만
비계 부분이 연한 갈색이여서
진한색이 아니여서 아쉬웠어요 
항상 맛있어요 고맙습니다~"
1087,   손님,2019년 6월 4일,4,5,4,"양은 정말 많았어요~~
근데 불보쌈이 덜매워서 조금 아쉬웠어요ㅠㅠㅠ"
