,아이디,날짜,맛평점,양평점,배달평점,리뷰
1534,bl**님,2019년 12월 13일,5,5,1,"양 100점 맛 100점 신선도 100점
 최고입니다
다만 배달하시는 분이 조금 불친절하셨어요 ㅠ퓨
그래듀 맛있게 잘 먹었으니 만족:)입니디
ㅏ"
1535,ji**님,2019년 12월 13일,5,5,5,"와사비가 생각보다 너무 매워서 놀랐어요
양 많고 맛있고 배달도 빨랐어요!"
1536,te**님,2019년 12월 12일,5,5,5,회 두께 적당하고 깨끗해요 ㅎㅎ 자주 시켜먹을거 같아요
1537,wh**님,2019년 12월 11일,5,5,5,정말정말 쥑입니다!!최고 서비스 소라무침도 너무 맛있어요
1538,   손님,2019년 12월 11일,5,5,5,너무맛있어요 또시켜먹을게요
1539,   손님,2019년 12월 11일,5,5,5,맛있었어요 배달도 빠르게 왔구요 원래 회를 배부를때까지 먹어서 딱 맞게 시켰는데 소라무침도 주셔서 조금 많았네요 회도 신선하고 좋았어요~~~
1540,pi**님,2019년 12월 11일,4,5,4,저녁시간이라 배달오래걸린거빼고는 아주만족합니다
1541,   손님,2019년 12월 9일,5,5,5,소방어가 다 팔렸다고 해서 광어연어 세트로 바꿔주셨어요 넘 친절하시고 회도 엄청맛있어요 배달도 빨라요 굿굿
1542,   손님,2019년 12월 9일,5,5,5,너무푸짐하게 잘먹었습니다!!
1543,am**님,2019년 12월 9일,5,5,5,대방어 쫄깃쫄깃 고소한게 맛있네요. 소라무침도 맛있었어요. 배달도 빠르고 감사합니다.
1544,pd**님,2019년 12월 9일,5,5,5,후기가 좀 늦었네요. 회 받았을때 부터 신선해서 정말 맛있게 먹었습니다 연어도 기름지고 우럭도 쫄깃했어요 배달도 빨리오시고 잘먹었습니다
1545,gr**님,2019년 12월 8일,5,5,5,매주 생각날 정도로 맛있게 먹고 있구요. 신선한 회 먹을 생각하다가 초밥 실수로 두개시키고도 모를 정도로 주문할 때 정신을 놓게 되네요. 상추도 넉넉히 주셔서 너무 좋아요!
1546,ka**님,2019년 12월 8일,5,4,4,맛있게 잘먹었습니다. 너무 맛있네요~ㅎㅎ
1547,dh**님,2019년 12월 8일,5,4,5,맛잇ㅎ어요~~~~~
1548,li**님,2019년 12월 6일,5,5,5,"쫄깃하고 가격도 합리적으로 아주 좋았어요~
리뷰 이벤트 신청 안했는데 챙겨주셔서 감사합니다"
1549,02**님,2019년 12월 6일,5,5,4,맛있게 잘먹었습니다
1550,eh**님,2019년 12월 5일,5,5,5,"왐마 회도 맛있고 배달도 빠르고
소주가 쭉쭉 드가네요
단골예약입니다."
1551,cy**님,2019년 12월 4일,5,5,5,양많고 저렴하고 맛있어요.
1552,gr**님,2019년 12월 1일,5,5,5,"여기 회는 생각할수록 정말 만족이에요.
맛과 양 둘다 부족함이 없네요.
무침도 맛있었어요. 앞으로도 
회가 생각나면 무조건 여기서 시킬듯요."
1553,my**님,2019년 12월 1일,5,5,5,으아아아아아아아아악!
1554,   손님,2019년 12월 1일,5,5,5,"하진짜 역시 탐나종합어시장은 절대네버네오그냥 배달 30분도안되서온거 실화인가요ㅠㅠㅠ
아진짜너무좋아요ㅠㅠㅠ맛잇어요 꼬숴가지고그냥 쐬주가 줄줄들어가네여"
1555,12**님,2019년 11월 30일,5,5,5,아 최고엿읍니다 .
1556,   손님,2019년 11월 30일,5,5,5,"우연이나 광연이를 주문하려고 들어왔다가
아나고 세꼬시가 있어서 우럭이랑 아나고 세꼬시
시켜서 먹었네요.

맛있게 잘 먹었고, 요구사항이 손님들마다 다
있으면 가게 입장에선 힘들텐데 정성스레 해주셔서 감사합니다.

처음이라 보통으로 시켰는데, 저는 회를 두껍게 먹는편이라 다음에는 두껍게로 시켜도 될것같아요. 대신 보통도 절대 얇은 두께는 아닙니다. 제가 좀 많이 두껍게 먹는지라."
1557,ds**님,2019년 11월 29일,4,4,4,잘 먹었습니다 :)
1558,sa**님,2019년 11월 28일,5,5,5,양도 많고 맛도있어요ㅎ 잘먹었습니다^^!!
1559,no**님,2019년 11월 28일,5,5,5,맛있구 양도 푸짐하고 좋아요
1560,   손님,2019년 11월 27일,5,5,5,"진짜 양도 많고 맛있어요!! 소라무침 짱 ㅜㅜ 연어 광어 다맛있는데
광어는 쫄깃쫄깃 하네용! 연어는 부드럽구여 엄청신선해요 초밥도 싸고 맛있어요 근데 초밥이 위에있어서 그런지 납작하게왔어요ㅠㅠ그래도맛있었구 요구사항 잘 들어주셔서 감사합니다 번창하세요 회는여기서 시킬세요 항상 ㅠㅠ 리뷰이렇게 길게 남기는업소도 여기가 처음!"
1561,go**님,2019년 11월 26일,5,5,5,양 많고 서비스가 진짜 맛있어요
1562,   손님,2019년 11월 26일,5,4,5,"방어철이라고 해서 대방어랑 소방어고민하다가 대방어 먹었어요. 
맛있어요. 맛있는데 양이 소자라서 아쉬웠어요. 
소라무침도 맛나요. 
다음에는 소방어 먹어봐야겠어요."
1563,ra**님,2019년 11월 25일,5,5,5,양 미쳤어요... 배터짐 소라무침은 이게 어떻게 서비스죠? ㅋㅋㅋㅋ 소라무침 진짜 맛있어욜 리뷰이벤 끝나도 시켜서 먹을듯 밥반찬으로 먹어도 될거같아요 소라도 맛있는데 양념이랑 야채가 엄청맛있음 하얀 야채 긴거 무인가..? 무가 맛있을일인가 싶을만큼 맛있어요 완벽했습니다
1564,   손님,2019년 11월 23일,5,5,5,후회 없습니다! 강추ㅜㅜㅜㅜ!!
1565,bo**님,2019년 11월 21일,5,5,5,"배달 진짜 빨리왔어요.
신선하구 맛있었구요. 소라무침 너무 맛있었네요^^"
1566,   손님,2019년 11월 19일,5,5,5,빠른배달 감사합니다 소라무침도 잘먹엇슴다
1567,   손님,2019년 11월 17일,5,5,5,"리뷰이벤트하지도 안앗는데 
알아서 챙겨주더라 
맛도좋고 잘먹엇음"
1568,qk**님,2019년 11월 15일,5,5,5,빠른배송에 일단 너무 좋았고요!소라무침도 맛있었고 회도 맛있었습니다!!또 이용할께요~
1569,ps**님,2019년 11월 15일,4,5,5,너무맛잇엇어요 배달도 빠르고 양도 많고!!
1570,gr**님,2019년 11월 15일,5,5,5,"배달로는 회를 처음 시켜봐서 걱정했었는데
맛도좋고 무엇보다 양이 꽤 많았습니다. 
광어 연어 각각 시키는 것보다 광연세트가 비싼데
양이 더 많은건지 구성이 다른건지 알 수가 없어
고민했는데 이건 알려주심 좋을꺼같아요.
다음에도 계속 회는 여기서 시켜먹을꺼 같습니다."
1571,cr**님,2019년 11월 14일,5,5,5,우왕소라까지감사해용
1572,kk**님,2019년 11월 13일,5,5,5,도미회.. 비싸디만 광어회와 우럭회에서 이미 검증이 됐기에 믿고먹는 클라스. 아니나 다를까 그냥 최고입니다ㅠㅠ 온갖 식감이 다 모여있네요 쫀득하고 아삭하고 고소하고ㅋㅋ
1573,   손님,2019년 11월 13일,4,5,5,지난번에 이어 이번에도 너무 맛있게 잘먹었습니다~
1574,j3**님,2019년 11월 11일,5,5,5,"처음시켰는데 정말 맛있게 먹었습니다!
상추 추가로 부탁드렸는데 정말 후하게 보내주셔서 놀랬고 감사드립니다ㅎㅎ
배달도 빨리 와주시공 앞으로 자주는 안되겠지만 간간히 시켜먹게될거같습니다 ㅎㅎ"
1575,   손님,2019년 11월 10일,5,5,5,"이쪽 근방 이사오면서 여기서만 회 먹어요.
여태 먹은 횟집중  여기가. 가장 최고인 옷인듯 합니다.
오늘도 잘 먹겠습니다.~^^"
1576,go**님,2019년 11월 8일,5,5,5,양 짱많아요 맛있어야
1577,kk**님,2019년 11월 8일,5,5,5,생선마다 확실하게 느껴지는 식감이 너무 좋습니다. 우럭은 쫄깃하고 광어는 아삭한게 진심 최고에요. 돈 없는 가난뱅이라 자주는 못시켜먹지만 꾸준히 찾겠습니다.
1578,   손님,2019년 11월 8일,5,3,5,싱싱 꿀맛 입니다 네네
1579,   손님,2019년 11월 7일,5,5,5,"저번에요청해주신대로 계절회가있어서놀랐구요 양도 많구 
이번엔  소라무침 써비스까지 너무좋았습니다
아참 소방어 너무 맛있네요"
1580,   손님,2019년 11월 7일,5,5,5,진짜 굿 ㅎㅎㅎㅎ 서비스도 굿 맛도 굿 너무너무 좋습니다 내일 ㅋㅋ 매장가서 먹어야겟어여
1581,   손님,2019년 11월 6일,5,5,5,"맛있게 잘 먹었어요^^
요청사항도 잘 들어주셔서 감사해요"
1582,   손님,2019년 11월 5일,5,5,5,"24분만에 배달왔구요.
방어가 슬슬 제철이라 시켜봤는데
완전 맛있습니다 ㅎ
혼자 먹으려 소짜시켰는데 다 못먹을듯해요.
번창하십쇼~!"
1583,kw**님,2019년 11월 4일,5,5,5,잘먹었습니다!!!!!!서비스라 조금주실줄알았는데 양이엄청많네요!!!
1584,ki**님,2019년 11월 3일,5,5,5,배달빠르고 회도 많아서 너무맛있게 먹었어요
1585,   손님,2019년 11월 3일,5,5,5,오동통 쫀득하니 아주 맛있었어요!! 서비스 소라무침도 진짜 맛있어서 행복하게 먹었습니당 ㅠㅜ
