,아이디,날짜,맛평점,양평점,배달평점,리뷰
58,sh**님,2022년 7월 22일,2,2,1,"배달이 너무 늦어요.
대략 70분 정도 걸립니다."
59,la**님,2022년 7월 21일,5,5,5,"다 먹고 난 뒤에 생각나서 찍었네요
맛있게 잘 먹었습니다!"
60,ho**님,2022년 7월 20일,5,5,5,맛있게 잘 먹었어요
61,co**님,2022년 7월 19일,-,-,-,역시나 빠른배송~ 오늘도 맛있게 잘 먹었습니다
62,sh**님,2022년 7월 16일,5,4,5,아이가 있어 집앞에 두고 가시라 요청드렸는데 문자까지 주기고 잘 받았습니다. 감사합니다.
63,co**님,2022년 7월 13일,5,5,5,잘 먹었습니다~~~
64,sp**님,2022년 7월 13일,5,5,5,맛나게 잘 먹었습니다
65,d0**님,2022년 7월 10일,5,5,5,배달 빠르고 정확합니다
66,kj**님,2022년 7월 7일,5,5,5,"마ㅅ잇어요
잘먹었습미자"
67,su**님,2022년 7월 6일,4,5,5,스쿨푸드 맛있어요  ㅎ
68,pe**님,2022년 7월 3일,5,5,5,오랜만에 먹었더니 맛나유
69,zo**님,2022년 6월 30일,5,5,5,"어묵탕은 처음 먹어봤는데 양도 많고 맛있네요!
칼칼하니 비오는 날 딱이예요👍💙
따뜻하고 푸짐하게 잘 먹었어요!!"
70,   손님,2022년 6월 26일,4,4,4,맛있게넘잘먹었어요!
71,ir**님,2022년 6월 24일,4,4,5,맛있어요 잘먹었어요
72,ka**님,2022년 6월 21일,5,5,5,여긴 늘 맛있어요ㆍ번창하세요
73,99**님,2022년 6월 19일,5,5,4,"넘  맛있게 먹었는데 두가지만 개선해주세요
1싸이드로 스팸이나 계란후라이 넣주세요
그리고!!!! 2 김치 고기잘라서주세요
회사에서 이거 어케 먹나요ㅜㅜ"
74,su**님,2022년 6월 18일,5,5,5,떡볶이랑 김밥 맛있어요 ㅎ
75,zb**님,2022년 6월 18일,5,5,4,"감사히 잘먹겠습니다.
깔끔해서 좋네요!"
76,nj**님,2022년 6월 18일,4,4,3,분식집이 마땅한게 없었는데 먹을만하네요 ㅎ
77,te**님,2022년 6월 16일,4,4,4,맛있게 잘먹었습니다
78,hs**님,2022년 6월 13일,5,5,5,"냉면이 입맛 당겨요.
마리도 맛있고 다 좋아요."
79,rj**님,2022년 6월 11일,5,5,5,"모든 메뉴가 다 맛있어요 
배달 빠르고요 :)"
80,nm**님,2022년 6월 7일,4,5,5,맛있어요 특히 김말이가 감칠맛나고 좋네요
81,jz**님,2022년 6월 6일,5,5,5,맛있어요 ~~강추천합니다
82,hs**님,2022년 6월 5일,5,5,5,"항상 세트로 주문하게 되네요.
다 맛있었어요."
83,te**님,2022년 6월 1일,4,4,4,맛있게 잘먹었습니다
84,kh**님,2022년 6월 1일,5,5,5,"스쿨푸드는 어디나 다 평타는 치는듯요
맛있네요!"
85,32**님,2022년 6월 1일,5,5,5,양이 생각보다 많아요
86,be**님,2022년 5월 31일,5,5,5,항상 맛있게 잘먹고 있어요
87,mi**님,2022년 5월 30일,5,4,4,언제 먹어도 맛있네요~
88,td**님,2022년 5월 27일,5,5,5,맛있게 잘 먹었어요
89,sk**님,2022년 5월 24일,5,4,5,잘먹었습니다. 순대넘 맛있어요 ㅎㅎ
90,lo**님,2022년 5월 14일,5,5,5,"배달도 빠르고 역시 맛있습니다. 
마리에 장아찌가 적었지만.."
91,tn**님,2022년 5월 12일,5,5,5,맛있게 잘 먹었습니다
92,su**님,2022년 5월 12일,5,5,5,완전 싹 먹음 ~ ㅎ
93,mi**님,2022년 5월 12일,5,5,5,음 역시 언제먹어도 개꿀맛
94,sa**님,2022년 5월 4일,5,5,5,오랫만에 시켜먹어도 맛있어요ㅠㅠㅠ비싸서 글치ㅠㅠ
95,ci**님,2022년 5월 3일,5,5,5,최소주문 가격이 1인이 먹기엔 약간 애매해서 좀 많이 시키긴 했는데 맛있었어용ㅋㅋㅋ 배달도 빠르고 맛있게 잘 먹었습니다! 많이 파세요☺️
96,so**님,2022년 5월 2일,5,5,5,맛있게잘먹었습니다^^~~~
97,ms**님,2022년 5월 1일,4,5,5,준비빠르고 배달 잘왔습니다
98,su**님,2022년 4월 29일,5,5,4,스쿨푸드 맛있어요 ㅎ
99,wo**님,2022년 4월 28일,1,3,1,"배달  실수에…. 다시 조리해서 준거는
메뉴가 다르게 옴 ㅎㅎ…."
