,아이디,날짜,맛평점,양평점,배달평점,리뷰
492,ap**님,2021년 1월 24일,5,5,5,"이맛저맛 다맛보는거 좋아하는 제 취향에 딱이에요.
맛있구요. 배달빨리와서 따뜻하게 잘먹었습니다."
493,xo**님,2021년 1월 24일,5,5,5,후라이드 맛있어요~
494,ag**님,2021년 1월 23일,5,5,5,야채와 함께 먹는 진리치킨~
495,jm**님,2021년 1월 23일,5,5,5,오랫만에 시켰는데 역시나 맛있네요~^^
496,on**님,2021년 1월 18일,5,5,5,"기본에 충실한 치킨입니다. 특히 후라이드 존맛탱 
양념은 살짝 아쉽지만 또 시켜먹을 각나옵니다.
투펀치에서 양념을 후라이드로 변경할수는 없나요?"
497,er**님,2021년 1월 17일,3,4,5,오늘따라 닭 비린내가 심해서 먹기 힘들었습니다. 조금만 더 신경써주세요!
498,cl**님,2021년 1월 16일,5,5,5,항상여기서 시켜먹어여
499,go**님,2021년 1월 15일,5,5,5,빠르고 맛납니다 추천
500,st**님,2021년 1월 14일,5,5,5,짱!
501,yi**님,2021년 1월 13일,4,4,4,"한번시켜먹어보았는데^^
맛있더라구요..낸중또시켜서먹을께요"
502,xg**님,2021년 1월 13일,5,5,5,감사합니다 맛있어요
503,ap**님,2021년 1월 13일,5,5,5,주문해놓고보니 눈이 너무많이 내려서 너무 죄송하고 걱정됐는데  빨리 배달해주셨어요. 세가지맛먹을수 있어서 좋네요.
504,kj**님,2021년 1월 11일,5,5,5,맛있게 잘 먹을게요
505,le**님,2021년 1월 11일,5,5,5,"앞으로 파닭은 여기꺼만 시켜먹을 생각입니다ㅎㅎ

양도 너무 많고 세가지맛이라 좋네요"
506,   손님,2021년 1월 11일,5,5,5,"간장은 갈비맛통닭 같아서 아주 맛있었어요
맵찔이 벗어났다고 생각했는데 양념은 쉽지 않았네요"
507,ji**님,2021년 1월 10일,4,4,4,맛도 양도 좋아요~
508,yh**님,2021년 1월 10일,5,5,5,잘 먹었어요 처음 시키는데 맛있네요
509,nw**님,2021년 1월 10일,4,2,5,맛 괜찮아요. 양은 좀 부족해요
510,yu**님,2021년 1월 10일,5,4,5,항상 맛있게 잘 먹고 있습니다^^
511,rl**님,2021년 1월 10일,5,5,5,"50분 예상시간인데 30분만에 오셔서 좀 놀라고, 반가웠네요.
맛평리뷰 보고 주문했는데, 성공했습니다.
다음에 또 주문하고 싶네요.번창하세요~"
512,   손님,2021년 1월 10일,5,5,5,"콜라큰거는 서비스인가요ㄷㄷㄷㄷ
잘먹겠습니다. 맵달이 잘어우러진
앵그리 맛있게 잘먹었습니다ㅎㅎ"
513,mj**님,2021년 1월 6일,5,4,5,맛있어서 또 주문했어요 ^^
514,   손님,2021년 1월 6일,5,4,4,나름괜춘아요......
515,us**님,2021년 1월 4일,5,5,5,오랜만에 시켰는데 오우!역시!오리엔탈 처음 먹어봤는데 아주 좋아요!다음에 와사비  먹자고 하네요~치즈볼은 아들이 먹지도 못하게 해요 ㅠ다음에 또 뵐께요
516,   손님,2021년 1월 4일,4,5,5,"양념으로 변경요청했었는데 바꿔주셔서 감사해요~ 
양념도 진짜 넉넉하고 배가터질꺼 같아요 ㅎㅎ 배달도 엄청 빠르고 바삭바삭 따뜻하고 좋았어요~"
517,to**님,2021년 1월 4일,5,5,5,언제나 맛있고 풍족함 굿!
518,ro**님,2021년 1월 3일,5,5,5,너무 맛있게 잘 먹었습니다
519,ju**님,2021년 1월 3일,5,5,5,"언제나 맛있게 먹고있습니다 애들이 젤 좋아하는 집이에요 이가격에 남는게 있을까 싶을 정도에요
사장님 번창하세요"
520,oo**님,2021년 1월 2일,5,5,5,양도 넘 많고 맛있어요
521,ki**님,2021년 1월 2일,4,4,5,"처음 시켜 보는데 양도 맛도 좋으네요~~^^
배달도 비대면으로 잘 받았구요~~
아이들도 맛나게~~^^"
522,db**님,2021년 1월 2일,5,5,5,"인형 귀엽네영
잘먹었습니다"
523,ay**님,2021년 1월 2일,5,5,5,항상 시켜먹는곳 맛있어용
524,ki**님,2021년 1월 1일,5,5,5,"배달예상시간보다빠르게 잘받았습니다.
치킨은 짜지않고 맛있어요~"
525,do**님,2021년 1월 1일,5,5,5,투존 맛있어요~~뼈없는 건 처음시켜봤는데 맛나요
526,gh**님,2021년 1월 1일,4,4,4,....음.............
527,   손님,2020년 12월 31일,5,5,5,맛잇게 잘 먹엇어요
528,ne**님,2020년 12월 31일,5,5,5,푸짐하고 맛있었어요!
529,ys**님,2020년 12월 30일,5,5,5,입맛까다로운 우리어머님이 맛있게 드셨어용~^^
530,kk**님,2020년 12월 28일,5,5,5,맛있어요.
531,jj**님,2020년 12월 26일,5,5,5,최고의 치킨 언제나 굿굿 입니다.
532,cl**님,2020년 12월 24일,5,5,5,너무맛있어요^^^^
533,ni**님,2020년 12월 24일,5,5,5,사진을 못찍었네요 ㅜㅜ 소스가 너무 다양해서 놀랐어요 소스마다 다양한매력이 있는치킨이예요~~맛있어요^^
534,pa**님,2020년 12월 21일,5,5,4,치킨맛있어용 개꿀딱
535,xg**님,2020년 12월 19일,5,5,5,감사합니다 맛있어요
536,ka**님,2020년 12월 18일,5,5,5,저렴한가격에 좋은 상품 구매했습니다
537,db**님,2020년 12월 18일,5,5,5,"이거 어니언소스 양보고 감격했음
이거는 가성비가 아주 혜자스러운 매뉴인 듯"
538,kb**님,2020년 12월 16일,5,5,5,"맛도 좋고 세명이서 먹었는데도 몇조각 남았네요. ㅎㅎ
맛있게 잘먹었어요~!"
539,go**님,2020년 12월 15일,5,5,5,처음 먹어봤는데 넘넘 맛있게 잘먹었습니다~^^
540,tr**님,2020년 12월 14일,4,5,5,배달도 빠르고 양도 엄청 많았어요~^^
541,zz**님,2020년 12월 13일,5,5,5,다먹었어요 ㅎㅎ 잘먹었습니다
542,   손님,2020년 12월 13일,5,5,5,양이 엄청 나네요 맛있게 잘먹었습니다.
543,ko**님,2020년 12월 11일,5,5,5,언제 먹어도 맛있습니다.
544,   손님,2020년 12월 10일,5,5,5,맛잇게 잘 먹엇어요
545,53**님,2020년 12월 10일,5,5,5,맛 있고 배달시간은 안내시간 내 배송됐고  양도 많네요. 잘먹었습니다.
546,tr**님,2020년 12월 8일,5,5,5,늘 먹는 치킨. 세가지맛 다 먹어서 좋아요. 쿠폰 있어서 잘 사먹었어요. 담에 또 시킬게요
547,wh**님,2020년 12월 7일,5,5,5,맛있게 잘 먹었어오
548,li**님,2020년 12월 5일,5,5,5,"배달도 빠르고
잘 먹었습니다~^.^"
549,   손님,2020년 12월 4일,5,5,5,진짜 맵네요 ㅋㅋ 맛있어요
550,ri**님,2020년 12월 3일,5,5,5,"4번째에요 ㅠㅠ
넘후 마시써여!!!
이번엔 양념소스를 눈물소스로 바꿔봤는데 맵지만 전보다 더 괜찮더라구요! ㅎㅎ
양도 많고 맛도 좋고! 
두마리 토끼 다 잡고 가네요~ㅎㅎ
항상 잘먹어요!"
551,ar**님,2020년 11월 22일,5,4,5,"맛있습니다
양파채도많고 어니언소스도 맛있는데
파채랑 오리엔탈소스는 양이 너무 적네요"
552,   손님,2020년 11월 21일,5,5,4,레알  개존맛  꼭  시켜드세여
553,ji**님,2020년 11월 20일,4,5,5,재주문  하는건데   늦게 주문이 들어갔는데두   신경써서  빨리  배달해 주셔서  감사합니다  .  담에  또  주문할께요
554,ri**님,2020년 11월 18일,5,5,5,3번째인데 너무너무 맛있네요 ㅠㅠ
555,ha**님,2020년 11월 15일,4,5,5,배달도 금방오고 맛있어요~~ 소스가 포인트네욤
556,ji**님,2020년 11월 11일,5,5,5,사는동네가  아니라서   리뷰만  보구  주문했는데   모임친구들이  다  맛있다구하구   배달두  생각보다  엄청  빨랐어요
557,ji**님,2020년 11월 11일,5,5,5,"맛있게 잘먹었습니다.
고맙습니다-!"
558,fo**님,2020년 11월 9일,5,5,5,양두 넉넉하고 양념도 넉넉하고 파닭소스가 새콤해서 맛있었어용~ 잘먹었습니당 배달도 빨랐어요👍🏻
559,ri**님,2020년 11월 8일,5,5,5,"짱 마시쒀요!
둘이서 먹으면 든든헙니다! :)"
560,oh**님,2020년 11월 7일,5,5,5,매운데 맛있어요~~~
561,yh**님,2020년 10월 28일,5,5,5,잘 받았습니다 감사합니다
562,ir**님,2020년 10월 23일,5,5,5,항상 시켜먹는 집입니다 한결같이 맛있고 배달도 빠르게 왔습니다
563,ys**님,2020년 10월 22일,5,5,5,"먹느라 바빠서 찍는걸 잊었어요~
애들도 좋아하고~
토핑(?)이 푸짐해서 
요리먹는거 같아요~~~"
