,아이디,날짜,맛평점,양평점,배달평점,리뷰
5089,wo**님,2017년 11월 11일,5,5,5,역시 여기만시켜먹습니당
5090,   손님,2017년 11월 11일,5,5,5,배달빠르고 맛있었어요
5091,   손님,2017년 11월 11일,4,4,4,양도 맛도 적당합니다!!
5092,   손님,2017년 11월 11일,5,5,5,맛있어요 ㅋ 배달도 빠르구요
5093,   손님,2017년 11월 10일,5,4,5,맛있어요 소스 추가로 요청했는데 더 넣어주셔서 ㄱㅅ
5094,wk**님,2017년 11월 10일,5,5,5,맛있게 잘먹었어요~
5095,cr**님,2017년 11월 10일,5,4,5,맛있어용! 배달도 문자로 찍어주는 시간보다 빨리와요!
5096,ki**님,2017년 11월 10일,5,5,5,좋아요좋아요좋아요좋아요
5097,   손님,2017년 11월 10일,5,5,5,빠르고 정성스럽습니다
5098,   손님,2017년 11월 9일,5,5,5,맛있습니다 잘먹었어요
5099,lj**님,2017년 11월 9일,5,4,5,항상 맛있어요~ 배달 시간도 정확해여
5100,my**님,2017년 11월 8일,4,4,4,배달도 빠르고 맛있네요
5101,ys**님,2017년 11월 7일,5,5,5,"순살이 훨씬맛있네요 ,
뼈보다 양이 많은거같고 바삭하고
고추바사삭 순살추천합니다"
5102,ka**님,2017년 11월 7일,5,5,5,항상 굿이에여 굽네치킨 가산동점 짱짱맨
5103,   손님,2017년 11월 7일,5,5,5,"전체적으로 빠르고 맛있게 뜨겁게 배달 잘 해줏서 맛낙 잘먹었습니다!!!
또 배달이용할것 같아요!!!!"
5104,   손님,2017년 11월 7일,4,4,5,맛있어여 갓네치킨 굿굿
5105,sa**님,2017년 11월 6일,5,5,5,갈천 자알 먹겄습니다
5106,   손님,2017년 11월 5일,5,5,5,맛있어요 배달도 빠르고요
5107,   손님,2017년 11월 5일,5,5,3,맛있어요 근데 배달이 좀 느린거 같아요
5108,pu**님,2017년 11월 5일,5,5,5,맛있어요 ~~~~~~
5109,   손님,2017년 11월 5일,4,4,4,맛나요맛나요 배달빨러요
5110,   손님,2017년 11월 5일,5,5,5,역시 튀김옷없이 기름쫙뺀 통닭 맛잇어서 클리어했네요
5111,wh**님,2017년 11월 4일,5,3,4,빠르고 맛있는 음식이 왔네용
5112,   손님,2017년 11월 4일,5,5,5,맛있고 배달이 친절하세요
5113,   손님,2017년 11월 4일,2,2,1,"음식이 좀 짜고 느끼합니다.
그리고
배달시간이 너무 오래 걸리네요"
5114,   손님,2017년 11월 4일,5,5,5,👍👍👍👍👍👍👍👍👍👍👍👍
5115,   손님,2017년 11월 3일,5,5,5,양도 많고 맛도 좋습니다
5116,   손님,2017년 11월 3일,5,5,5,배달이 빨라서 김나는 치킨 먹었어요
