,아이디,날짜,맛평점,양평점,배달평점,리뷰
4141,go**님,2019년 6월 1일,5,5,5,배달 빠르고 맛있고 좋아요~~
4142,jo**님,2019년 6월 1일,5,5,5,맛도 배달도 다 만족합니다
4143,   손님,2019년 5월 31일,5,5,5,aaaaaaaaaa
4144,   손님,2019년 5월 31일,5,5,4,..........
4145,ki**님,2019년 5월 31일,5,5,5,양념두 맛있어요 그냥 고민없이 시키게 되네요.
4146,ki**님,2019년 5월 31일,5,5,5,맛있게 잘 먹고있습니다 대박나세요.ㅎ
4147,   손님,2019년 5월 31일,5,5,5,"땡초 처음으로 시켰는데 
정말 맛있게 매워요~! 
그래도 양념은 못따라오는거 같아요 
호식이는 양념 + 간장이 
누가뭐래도 최고입니댜,,!"
4148,   손님,2019년 5월 31일,5,5,5,맛잇어용 배달도 빠르시구
4149,   손님,2019년 5월 30일,5,5,5,맛있게잘먹었습니다.  다음에 또 시킬게요
4150,gy**님,2019년 5월 30일,5,5,5,3명이서 배부르게 잘 먹었어요!!
4151,ki**님,2019년 5월 28일,5,5,5,최근에 시킨 치킨집중에서 이집에 최고인듯요 아주만족 스럽게 먹고있어요.ㅎ
4152,   손님,2019년 5월 27일,5,5,5,호식이는 매운간장이 진리~
4153,dl**님,2019년 5월 26일,5,5,4,매번먹습니다 아주맛있어요!!
4154,   손님,2019년 5월 25일,4,4,4,호식이는 맛있어요.
4155,ak**님,2019년 5월 24일,5,5,5,"다른점은 쿠폰주는데 여긴 안줬어요
그래서 갈아탑니다
어쨋든 맛있게 먹었어요"
4156,   손님,2019년 5월 24일,2,2,2,맛없져 순살인데 퍽퍽함
4157,   손님,2019년 5월 24일,3,4,4,"맛은 그럭저럭 간장 맛있다고 해서 시켰는데 
그다지  맛은 별로 였어여"
4158,   손님,2019년 5월 23일,5,5,5,"먹어본 호식이 치킨들 중에서
여기가 제일 잘 튀기는 듯!!

너무 맛있어여
많이 파세요!!"
4159,zz**님,2019년 5월 22일,5,5,5,"전날 시켜 먹어도 다음날 또 생각나게 만드는 치킨!
배달 양 맛 세가지 다 만족합니다~
다음에는 뼈치킨으로 ~"
4160,zz**님,2019년 5월 22일,5,5,5,뼈도 훌륭하지만 순살도 양이 넉넉합니다!
4161,   손님,2019년 5월 20일,5,5,5,양도 많고 맛나요~이벤트로 주신 콜라도 잘먹었습니다
4162,kb**님,2019년 5월 20일,5,5,5,"이벤트로 매운양념까지!!!
너무맛있어용😭"
4163,ki**님,2019년 5월 20일,5,5,5,"언제먹어도 맛있는 호식이 두마리 치킨 ~ 
매운간장맛  👍
맛있게 잘 먹었습니다 ~🤗"
4164,vi**님,2019년 5월 20일,5,5,5,두마리라 닭이 작을줄알았는데 생각보다 크네요
4165,sk**님,2019년 5월 19일,4,5,4,"매운간장치킨 진짜 맛있어요
바삭한 치킨에 양념이랑 매운간장
맛있게 잘 먹었습니다!"
4166,to**님,2019년 5월 19일,5,5,5,합리적 가격에 맛 좋습니다 ^^
4167,or**님,2019년 5월 19일,5,5,5,지점마다 맛과 양이 다르다는 말이 많은데 가산점은 맛과 양 둘다 만족스럽네요
4168,rh**님,2019년 5월 18일,5,5,5,꾸르맛 자주 시켜먹을게요
4169,   손님,2019년 5월 18일,3,3,3,맛있게 잘 먹었습니다
4170,ch**님,2019년 5월 18일,5,5,5,배달도 빠르고 맛있어요~
4171,   손님,2019년 5월 18일,5,5,5,양념도 맛있지만 간장이 제일입니다
4172,   손님,2019년 5월 17일,5,5,5,맛있게 잘 먹었습니다. ^^
4173,rn**님,2019년 5월 17일,5,5,5,"너무 맛있어서 먹다보니 사진찍는걸 깜빡했습니다ㅠㅜ
정말 맛있었고 배달도 빨라서 만족합니다!
번창하세요!!"
