,아이디,날짜,맛평점,양평점,배달평점,리뷰
919,gr**님,2021년 9월 22일,5,5,5,"처음 먹어보는데 매콤하고 너무 맛있네요!
잘먹었습니다😀"
920,le**님,2021년 9월 22일,5,5,5,너무 맛있었어요~ 양도많고 만족했어요 배고파서 먹느라 사진찍는걸 깜빡했네요~ 다음에 또 시켜먹고 싶은맛이에요
921,mi**님,2021년 9월 21일,5,5,5,"솔직히 배달은 조금 느렸지만 맛있어요. 그 많큼 인기가 많다는 뜻이겠죠? 꾸덕 느끼 살짝 매콤한 맛까지 완벽합니다,,, 양도 최고,, 다들 여기서 드세요 🥰"
922,ne**님,2021년 9월 20일,5,5,5,역시 어느동네 어느시를가도 치킨은 치킨플러스^^b
923,du**님,2021년 9월 20일,5,5,5,로제닭볶이 양도푸짐하고 맛있어요
924,ja**님,2021년 9월 20일,5,5,5,맛있게 잘 먹었습니다
925,rb**님,2021년 9월 19일,5,5,5,맛있어요 최고최고최고
926,s2**님,2021년 9월 17일,5,5,5,맛있게 잘 먹었어요~
927,ht**님,2021년 9월 14일,5,5,5,"먹으면 내일 화장실이 힘들것이란걸 알면서도 먹게되는맛
닭볶이라는 메뉴를 알게된 후론 최소 달에 한번은 먹는것 같아요
맵기 조절만 되면 매일 먹고싶어요"
928,sa**님,2021년 9월 14일,5,5,5,맛있게 잘먹었습니다
929,ha**님,2021년 9월 13일,5,5,5,강정치킨 너무 맛있어서 며칠안됐는데 또 시켰어욥ㅠㅠㅠㅠ 진짜 존맛
930,il**님,2021년 9월 13일,5,5,5,맛도 좋고 배달도 빠르네요. 잘먹었습니다
931,to**님,2021년 9월 13일,5,5,5,맛있게 잘 먹었습니다
932,gh**님,2021년 9월 13일,5,5,5,여러가지 맛이있어서 좋아요!!
933,sf**님,2021년 9월 11일,-,-,-,잘먹었습니다. 또 먹을게요
934,le**님,2021년 9월 11일,5,5,5,너무맛있었어요! 양도 많아서 배부르게 먹었습니다 다음에 또 시킬것같아요
935,mi**님,2021년 9월 11일,5,5,5,맛있게 잘먹었습니다
936,bo**님,2021년 9월 11일,5,5,5,"내가 치플 다른 지점 먹어 봤는데, 여기가 젤 맛잇음.튀김 바삭함 미침 굳"
937,ju**님,2021년 9월 10일,5,5,5,조금 맵지만 맛있네요 ~
938,yu**님,2021년 9월 10일,5,5,5,"떡볶이맛집
후라이드도 바삭바삭 넘맛나지요"
939,ea**님,2021년 9월 9일,5,5,5,너무 맛있었어요! 처음 먹어보는 음식인데 다음에도 또 시켜먹으려구요 ㅎㅎ
940,pi**님,2021년 9월 8일,5,5,5,"#식후감
닭다릿살의 부드럽고 쫄깃한 식감
로제소스의 매콤하고 찐득한 질감
근데 쪼매만 들 짜면 참 좋을거같아요
아마 베이컨땜에 염분이 추가되어서 그런듯?"
941,dl**님,2021년 9월 4일,-,-,-,맛도양도 너무 맛나여
942,eu**님,2021년 9월 4일,5,5,5,"진짜 리뷰 잘 안남기고 리뷰 이벤트도 잘 안하는 편임
찐텐으로 개존맛탱 리뷰 별5개? 5개가 뭐야 10개도 줄수있음! 로제는 사람마다 원하는 기준이있는데 여기는 그냥 내 입맛임 부드러우면서 적당한 느끼함과 크리미함, 입을 살짝 감도는 매콤함이 진짜 적절했음  리뷰 남길 마음도 없어서 사진도 안찍었고 지금 시켜려고 보니까 아직 영업안하길래쓰는거임 여긴 그냥 찐임 정말 이거 하나시켜서 일주일 내내 밥이랑 먹고 김밥이랑먹고이것만 먹고 우동면넣어서도 먹고 할정도로 먹었는데도 안질림! 지금 문열기만 기다리는데 언제 열림? 하 배고파!!!"
943,tj**님,2021년 9월 4일,5,5,4,역시 치플은 떡볶이가 미친거 같아요 ! 맛있게 잘먹었습니다
944,al**님,2021년 9월 3일,5,5,4,"사진을 못찍어서 죄송할 따름입니다..
솔직히 어느순간부터 떡볶이 가격이 미친듯이 올라가더니 이제는 고오급 음식이 되어버렸는데
정말 치킨플러스 떡볶이는 저렴한 가격에다가 베이컨,치즈떡,누들밀떡,비엔나 등 구성도 굉장히 실합니다 떡볶이 전문점보다 백배 나아서 떡볶이 생각나면 항상 치플에서 시킵니다
후라이드도 왕 바삭바삭해서 로제 매운맛이랑 찰떡이네요
1인분 후라이드라해서 양 적을줄알았는데 정말 많아요 떡볶이 같이먹으면 두세번은 나눠먹는듯
서비스로 주신 김말이도 다섯개나 주신다길래 작을줄알았는데 넘 알차서 감동백만번 받았슴돠 번창하세요❤️"
945,   손님,2021년 9월 2일,5,5,5,굿
946,so**님,2021년 9월 1일,5,5,5,"와 역시나 너무 맛있어요
치플떡볶이 맛집인건 알았지만
로제도 이야 ㅋㅋ 넘 맛있네영
서비스 치즈스틱도 양 많이주시고
너무너무 만족스럽습니다"
947,ak**님,2021년 9월 1일,5,5,5,잘 먹었습니다. 오늘도.
948,gd**님,2021년 8월 31일,5,5,5,"맛도 꾸덕하고 양도 2~4인분 이라서 그런지 많아요.
다만 배달은 비오는 날이라서 시간이 예상시간1시간에서 20분이 더 소요되긴 했지만 음식이 엄청 식진 않았어요
맛있었습니다. 추천"
949,kb**님,2021년 8월 31일,5,5,5,맛잇어요 첫주문서비스 떡볶이는 좀 진햇으면 맛잇엇을거가틈
950,   손님,2021년 8월 31일,5,5,3,오 생각보다 맛있어서 놀랬어요! 배달만 빠르면 더 좋을거 같네요
951,do**님,2021년 8월 30일,5,5,5,로제라 살짝 느끼할까 걱정했는데 맛나서 수저로 떠 먹기까지 ㅎㅎ 처음 먹는거라 걱정이 좀 있었는데 괜한 걱정이었어요  맛있어요^^
952,as**님,2021년 8월 29일,5,5,5,"배달이 예상시간보다 빨리와서 좋았어요ㅎㅎ
양도 많고 바삭바삭 너무 맛있게 먹었습니다^^
리뷰이벤트로 온 떡볶이도 맛있는데 양도 많아서 놀랬어요"
953,re**님,2021년 8월 27일,4,3,4,맛잇게 잘먹엇요 배달도 빠른듯  ~
954,yb**님,2021년 8월 24일,5,5,5,엄마가 비비큐아니면 여기치킨만  드심
955,ef**님,2021년 8월 24일,1,1,1,뭐 오는건지 마는건지… 배달 70분 후라고했는데 70분 지나도 인오는건 무슨
956,dd**님,2021년 8월 24일,5,5,5,이 집은 그냥 떡볶이를 잘하네요 로제도 대만족이었는데 빨간떡볶이 이것도 진국이네요 자주 시켜먹을거같아요 감사합니다
957,xx**님,2021년 8월 23일,5,5,5,양 진짜많네요 맛도있는데 할인해서 잘먹었어요
958,bi**님,2021년 8월 22일,5,5,5,"큰 기대 안하고 먹었는데 정말 맛있어요.
닭볶음탕과 떡볶이의 절묘한 그 중간 어딘가..
재구매율 120%. 강력추천합니다."
959,yo**님,2021년 8월 22일,5,5,5,3536373772
960,wl**님,2021년 8월 22일,5,5,5,양도많고 엄청맛있습니다 로제는여기서만먹어야겠어요
961,le**님,2021년 8월 21일,5,5,5,다리살이라 부드럽고 맛있어요. 양도 많아요
