,아이디,날짜,맛평점,양평점,배달평점,리뷰
126,na**님,2022년 7월 9일,5,5,5,맛있게 잘먹었습니다 ~~~~^^
127,de**님,2022년 7월 7일,5,5,5,"닭강정은 역시 가마로 닭강정이네요...짭쪼름하게 잘 베어있는 양념도 좋은데 바삭한 식감까지 예상 배달시간보다 25분정도 오버됐지만 맛은 결코 놓치는 법이 없네요~^^
요청사항도 빠짐없이 들어주셔서 항상 감사드려요~

#식후감"
128,ma**님,2022년 7월 4일,5,5,5,맛있어요!!!!!!
129,do**님,2022년 7월 3일,5,5,5,턱 빠질정도로 바삭하게 해달라고 했더니 맛이 달라졌습니다 다음날에 먹어도 상당히 맛있을 정도였고요 이 맛에 늘 시켜먹습니다
130,ta**님,2022년 7월 3일,5,5,5,맛있게 잘먹었습니다^^
131,pa**님,2022년 7월 2일,4,4,1,배달이 늦어서그렇치 첨시켜먹는데 괜찬아요
132,pr**님,2022년 6월 30일,5,5,5,튀김옷이 바삭해서 정말 맛있어요 잘먹었습니다~
133,ma**님,2022년 6월 27일,5,5,5,맛있어요!!!!!!
134,th**님,2022년 6월 27일,5,5,5,"잘먹었습니다. 떡 많이주셔서 감사해요.
다음에도 주문할게요!"
135,li**님,2022년 6월 26일,5,5,5,"단짠 넘 맛있어요.
바삭하면서 쫀득하고
떡도 듬뿍 들어 맛있네요"
136,co**님,2022년 6월 26일,5,5,4,맛이 꾸준하고 먹기 편해서 자주 주문합니다.
137,ye**님,2022년 6월 25일,5,4,2,배달이 예상시간보다 30분이나 늦게왔어요ㅜㅜ저녁시간이라 너무 배고팠는데.. 그래도 맛있게 먹었어요~ 배달만 좀 신경써주시면 완벽합니다 👍
138,ck**님,2022년 6월 25일,5,5,5,아주맛있게먹었어요♡
139,sa**님,2022년 6월 24일,5,5,5,"배달온지 얼마 안되었는대 벌써 거의 다 주워먹어서 사진을 못남기네요.
동네에서 이렇게 부드럽고 바삭한 닭강정 처음먹어보는거 같아요.
3가지 맛 전부 다 맛있고 가족들도 맛있게 잘 먹고있네요 감사합니다.
콜라도 서비스 주셔서 감사합니다."
140,da**님,2022년 6월 23일,5,5,5,항상 요청사항도 잘들어주시고 감사합니다 ~~
141,ag**님,2022년 6월 23일,5,5,5,"배달 예상시간보다 빨리 도착했고
비오는 날 맛있는 음식을 먹을 수 있어 감사하게 생각합니다."
142,aq**님,2022년 6월 22일,5,5,5,가마로 어느 지점으로 할까 고민하다가 철산점이 괜찮을 거같아서 처음 시켜보았는데 역시네요👍🏻 바삭하고 맛있고 맥주랑 넘넘 잘 어울려요
143,ka**님,2022년 6월 22일,5,5,5,믿고 먹는 가마로 강정
144,ya**님,2022년 6월 21일,5,5,5,닭강정은 가마로강정이 제일 맛나더라구요^^
145,ru**님,2022년 6월 20일,5,5,5,양도 많고 제일 좋아하는 닭강정집! 맛있게 잘 먹었습니다!
146,pa**님,2022년 6월 20일,4,4,4,아이들이 맛있게 먹었어요~ 그러나 감자튀김… 너무 눅눅하네요;;;
147,th**님,2022년 6월 20일,5,5,5,맛있게잘먹었습니다~~
148,ba**님,2022년 6월 19일,5,5,5,너무 맛있어요 또 시킬게요
149,ks**님,2022년 6월 19일,3,3,3,잘 받았어요 많이 파세여
150,cl**님,2022년 6월 18일,5,5,5,가까워서 자주 가는 곳인데 오늘은 배달시켜봤어요. 딱 한시간만에 오네요 ㅎㅎ 여유있게 주문하세요~ 맛은 말모말모 너무 맛있어요~~~~~~
151,dl**님,2022년 6월 18일,5,5,5,배달이 엄청 빨랐어요~
152,cj**님,2022년 6월 18일,5,5,5,진짜맛있게 잘먹었습니다! 감사드려요. 떡사리도 많이 주셨어요. 재주문할게요.
153,du**님,2022년 6월 16일,5,5,5,"튀김이 바삭해서 제 취향저격이였네요.
다음에 또 시켜먹겠습니다 ^^"
154,gh**님,2022년 6월 16일,5,5,5,"맛있게 잘먹었습니다.^^
메모리카드가 지워져서 사진이 없네요.ㅠㅠ"
155,yu**님,2022년 6월 15일,5,5,5,"다 좋은데요~근데…
주문후 전화오셔서 요기요에서 주문한거라 1000추가된대요…
현금 계좌이체중 뭐로 할건지 물어보구…
요기요앱에서 그냥 배달비 인상하면 될것 같은데…
전화로 제가 요기요에서 주문해서 1000원 추가된다니…순간 전화 받으면서 당황했어요…
그래서 멸 하나 뱄어요..ㅜㅜㅜ"
156,ch**님,2022년 6월 15일,5,5,5,"가마로강정은 실패할확률이 전혀없는 선택이죠.. ^^
늦은 시간이었는데... 잘 먹었습니다."
157,rl**님,2022년 6월 14일,5,4,5,가격은 많이 올랐는데 닭육보다는 튀김이 더 많은 느낌
158,hw**님,2022년 6월 14일,5,5,5,"역시 닭강정은 언제나 가마로! 언제먹어도 먹을때마다 맛있고, 이벤트로 넣어주시는 떡도 양이 엄청 많아요!"
159,jh**님,2022년 6월 13일,5,5,5,맛있게 잘 먹었습니다~
160,de**님,2022년 6월 13일,5,5,5,"정시 정배달 단짠맵단 조합  죄고d
맛있게 잘먹었습니다~^^"
161,gj**님,2022년 6월 12일,5,5,5,생각날때마다 시키는데 맛이써용
162,ju**님,2022년 6월 10일,5,5,5,"닭 강정은 가마로지요.
근데... 철산점이 다른데 보다 더 맛있는거죠?
잘 먹겠습니다~"
163,mi**님,2022년 6월 9일,2,1,5,진짜 오랜만에 시켜서 기대했는데 와 4개 먹고 턱이 너무 아프네요.. ㅠ 1년전에 시킬때는 이러지 않았는데…양은 더 적어지고 거의 반은 고기없는튀김이고 너무 딱딱해서 고기만 분리해서 먹었네요; 부모님은 왜 이런걸 시켰냐고 잔소리만 듣고 ㅠㅠ
164,sa**님,2022년 6월 9일,5,5,5,맛있게 잘 먹었습니다~
165,wl**님,2022년 6월 9일,5,5,5,다음에 또 시켜먹을게요~
166,pa**님,2022년 6월 8일,5,5,5,"닭강정하면 철산닭강정이  짱이죠 
다양한 메뉴선택.골라먹는재미도 있고 양도 많고 서비스 짱입니다"
167,th**님,2022년 6월 7일,5,5,5,맛있어용ㅎㅎ 잘먹었습니다🙂
168,du**님,2022년 6월 7일,5,5,5,"리뷰 까먹고 안남겨서 지금 남깁니다.
껍질이 아주 바삭바삭해서 맛있게 잘 먹었습니다.
다음에도 또 시켜먹을듯요!!"
169,80**님,2022년 6월 5일,4,4,5,"맛있습니다. 부드럽고,  튀김옷도 적당ㅎㅎ양은 조금 작을수있어용. 그래도 가마로강정  믿고먹어요"
170,bo**님,2022년 6월 4일,5,5,5,오랜만에 먹어보는 가마로..
171,da**님,2022년 6월 3일,5,5,5,맛있게 잘 먹었습니다
172,2n**님,2022년 6월 2일,5,5,5,가마로 강정 맛있어요
173,yo**님,2022년 6월 2일,5,5,5,"맛나게 먹고 리뷰쓰는게 늦었네요~
배부르고 맛있게 잘 먹었습니다!"
174,rl**님,2022년 6월 1일,5,5,5,양념은 식어도 맛있어요~~
175,na**님,2022년 6월 1일,5,5,5,맛있네요 역시 강정이 좋네쇼
176,sc**님,2022년 6월 1일,5,3,3,역시  가마로 쵝오👍👍👍👍
177,sc**님,2022년 6월 1일,5,3,5,진짜 맛있어요 ~ 너무 맛있어서 그런지 양이 적다고 느껴지네요
178,so**님,2022년 5월 31일,5,5,5,닭강정은 가마로에서만 먹습니다요😉
179,na**님,2022년 5월 30일,5,5,5,닭강정은 가마로가 제일 맛있다고 저희 입맛 까다로운 딸이 그러네요~~
180,iw**님,2022년 5월 30일,5,5,5,아이들이 너무 좋아합니다~^^
181,0s**님,2022년 5월 30일,5,5,5,언제나처럼 맛있게 잘먹었어요
182,jh**님,2022년 5월 29일,5,5,5,너무 맛있어요!! 다음에 또 시켜먹을께요!
183,de**님,2022년 5월 29일,5,5,5,"오래 걸렸지만 잘 참고 기다렸어요-
맛있으니깐요ㅎㅎㅎㅎ
매장서 사는것까지 하면 
일주일에 2,3번씩은 꼭 먹는듯 하네요
정말 맛나요!!ㅎㅎ"
184,ye**님,2022년 5월 28일,5,5,5,항상 맛있게 먹고있어요
185,2l**님,2022년 5월 28일,5,5,5,맛있었어요 갈릭소스도 좋네요 떡도 많이 들어서 좋았구요
186,ji**님,2022년 5월 28일,-,-,-,"강정과 근위튀김 추천합니다
모둠튀김은 저에겐 아쉬웠어요
튀김이라기보단 건조기에 말린것같은 식감??"
187,js**님,2022년 5월 25일,-,-,-,"3주만에 또 먹네요
맛있게 잘 먹었습니다"
188,bs**님,2022년 5월 24일,5,5,5,"맛도 맛이고, 배달도 빠르게 와서 너무 만족입니다!!
닭강정은 역시 가•마•로👍"
189,co**님,2022년 5월 24일,-,-,-,다양한 구성으로 주문할 수 있어 좋아요.
190,pa**님,2022년 5월 23일,5,5,5,가마로 양념은 언제나 맛있어요!!
191,sk**님,2022년 5월 20일,5,5,5,정말 맛있습니다!!!!!
192,gk**님,2022년 5월 19일,5,5,5,"맛있었습니다 오랫만에 강정~~^^
식어서 다음날 에프 살짝돌렸는데도 괜찮았어요"
193,pr**님,2022년 5월 19일,5,5,5,맛있게 잘먹었어요~
194,gh**님,2022년 5월 19일,5,5,5,맛있게 잘 먹었습니다
195,sr**님,2022년 5월 19일,5,5,5,오랜만에 시켜먹는데 역시 맛있네요
196,ju**님,2022년 5월 18일,5,5,5,너무 맛있게 잘먹었습니다!! 같이 주문한 치즈볼도 너무 맛있었어요!!☺️
197,hp**님,2022년 5월 17일,5,5,5,잘먹었습니다!최고최고
198,ci**님,2022년 5월 17일,-,-,-,"닭강정은 가마로가 진리에요^^
바삭하니 너무 맛있어요~또 주문할께요~"
199,re**님,2022년 5월 16일,5,4,5,"음 양은 어딘가 조금 아쉬웠지만ㅋㅋ
너무 맛있게 잘먹었어요!!! 역시 닭강정은 가마로~~"
200,ha**님,2022년 5월 16일,5,5,5,"애들 치킨먹고싶다고 하면 가마로에서 배달이나포장 자주 시킨답니다 우선 넘 맛있고요~~
맛도 다양해서 어른술안주하면서 아이들 치밥먹이면 딱~!!! 번창하세요^^"
201,si**님,2022년 5월 16일,-,-,-,너무 맛있어요. 애들이 좋아해요
202,da**님,2022년 5월 14일,5,5,5,맛있게 잘 먹었습니다
