,아이디,날짜,맛평점,양평점,배달평점,리뷰
566,rh**님,2020년 9월 24일,5,5,5,도미노는 당연히 치즈피자죠ㅎㅎ
567,   손님,2020년 9월 24일,5,5,5,뮨제 처리 완료 잘해주셔서 감사요
568,ki**님,2020년 9월 23일,5,5,5,빠르고 맛있었습니다
569,mi**님,2020년 9월 23일,5,5,4,"너무 맛있었어요!
원래 좀 남겨서 친구랑 먹으려고 했는데 그냥 먹다보니 다 먹어버렸어요ㅋㅋㅋㅋㅋㅋㅋ
씬도우라서 다 먹어도 속이 부담스럽지 않아서 좋았어요
배달도 깔끔하게 잘 왔고요!"
570,   손님,2020년 9월 23일,5,5,5,"맛있게 먹었습니다.평소보다 치즈양이 좀
준거같은 느낌적인 느낌은  살짝 있었습니다ㅎ"
571,hu**님,2020년 9월 22일,5,5,5,짱맛있어요 느끼하지않네요
572,sc**님,2020년 9월 20일,5,5,5,배달도 빠르고 맛있어요!!!
573,di**님,2020년 9월 20일,5,5,5,맛있게 먹었습니다.
574,eh**님,2020년 9월 19일,5,5,5,"다양한맛 빠른배달 만족합니당~~
반은 벌써...ㅎ"
575,   손님,2020년 9월 17일,1,1,1,최악이었어요 피자헛으로 가야겠뜸!
576,sk**님,2020년 9월 13일,5,5,3,오늘은 배달이 너무 느렸어요
577,ha**님,2020년 9월 9일,5,3,5,"다른 아이템보다 빠르게 배송을 해주셔서 따뜻하게 잘 먹었습니다
사진 찍을새도 없이 빠르게 순삭 해버린 아이들 맛있게 먹었습니다"
578,in**님,2020년 9월 8일,5,5,5,먹을때마다 정말 맛있습니다!
579,ha**님,2020년 9월 6일,5,4,5,"배달은 생각보다 빨랐고
씬 도우라 양은 많진 않지만 맛있었어요
다만 갈릭디핑소스가 1개는 온다해서 추가주문 안했는데 안왔더라고요 일부품목 제외던데 표시되있었음 좋았는데 아쉽네요 ㅠㅠ"
580,ja**님,2020년 9월 3일,5,5,5,"피자는  바삭바삭!
스파게티는  역쉬 기대를 져버리지 않는군요.
아이들과  폭풍흡입했씀돠~~~^^
잘먹었습니다~~ㅎㅎ"
581,   손님,2020년 9월 1일,5,4,4,간만에 맛있는 피자를 먹게되서 좋았어요
582,   손님,2020년 8월 30일,5,4,5,"언제나 도미노피자는 맛있지요~~
크기가 작아서 담엔 L사이즈를 시켜야겠어요 ㅋㅋㅋ
잘먹었습니다"
583,bl**님,2020년 8월 20일,3,4,5,솔직히 치즈가너무적다 도우가다보여 빈곳도 많고ㅋ
584,   손님,2020년 8월 20일,2,3,4,도미노피자 단골 15년은 되는거 같은데 이렇게 맛없는 도미노 피자도 있다는걸 처음 알았네요~미리 완성해놓고 데워서 나오는지 완전 딱딱~~ㅠ ㅠ
585,vo**님,2020년 8월 20일,5,5,5,아주 맛있어요!!!!
586,ni**님,2020년 8월 15일,5,5,5,감사~~~~~~~~~~~~
587,pr**님,2020년 8월 15일,5,4,5,"비싸도 비싼값합니다 맛은 최고에요
이벤트할때 가끔씩 먹습니다"
588,   손님,2020년 8월 15일,5,5,5,맛나요 ㅎㅎㅎㅎㅎㅎㅎㅎ
589,ku**님,2020년 8월 15일,5,5,5,역시 피자는 도미노ㅎㅎ
590,zz**님,2020년 8월 14일,5,5,5,배달 빠르고 맛있어요
591,yo**님,2020년 8월 14일,1,1,5,"치즈케이크샌드 블랙타이거 라지 먹었습니다. 치즈케이크샌드 도우는 처음 출시되었을때 먹어봤는데 지점차이는 아닐텐데 좀 변한거 같네요. 이 도우는 바삭거리는 식감과 촉촉하고 달달한 치즈가 생명인데 치즈도 별로 없고 텁텁했구요. 가장 실망이었던 건 피자에 토핑을 너무 아꼈네요. 새우 하나씩 올라가는건 뺄 수 없으니까 그대로인데 베이컨을 아쥬 조각조각 내서 있는지 없는지도 모를정도고 피망 양파 등 메이저 브랜드 피자에 바라는 토핑이 아니네요. 정가는 한조각에 4500원 정도, 세일해도 한조각에 3500원 정도인데 너무하다는 생각이 듭니다."
592,tn**님,2020년 8월 14일,2,2,1,배달 너무 느립니다
593,yh**님,2020년 8월 13일,5,4,5,어째서 핫치킨이 취향존중이지 개존맛인데
594,rl**님,2020년 8월 13일,5,5,5,맛있게 먹었습니다 ㅎㅎ
595,du**님,2020년 8월 13일,5,5,5,솔직히 할인하길래 먹었다. 내일도 먹는다
596,kh**님,2020년 8월 13일,5,5,5,"사진으로 찍고보니까 환공포증 생길거같은데 
먹어보면 맛있고 배송 빠릅니다. 
도우는 역시 얇은게 도덕책"
597,el**님,2020년 8월 12일,4,3,5,8000원 행사할인 좋네요. 자주 하면 좋겠어요.
598,ls**님,2020년 8월 12일,5,5,5,"직화스테이크 피자 맛있어요!
아이들이 좋아 합니다.
잘 먹었습니다."
599,zx**님,2020년 8월 10일,3,3,1,나한테 왜그랬어여....왜 제로콜라로 줬어요....
600,   손님,2020년 8월 10일,4,3,5,배달 완전 빠르네요 ㅋㅋㅋㅋㅋ 맛도좋구요!
601,sc**님,2020년 8월 1일,5,5,5,맛있어여!!!!!!!!!!
602,el**님,2020년 7월 31일,2,3,4,그럭저럭 먹을만 했어요.
603,rl**님,2020년 7월 26일,5,5,5,"도미노피자
싱겁긴하네요
잘먹었습니다"
604,pa**님,2020년 7월 25일,5,5,5,"도미노피자 양보다는 질,

고소하고 담백함 

오늘은 아쉽게 도우 변두리 부분이 조금

까맣게 탓지만,마싯기 때문에 별 다섯개

그러나 할인 없이 사먹기엔 부담스러운 가격^^"
605,in**님,2020년 7월 25일,5,5,5,맛있습니다 맛있습니다
606,   손님,2020년 7월 25일,4,2,4,"이럴수가..손가락 편 사이즈...
세상에 ..8천원 어쩌구 한  날이라 했더니..
A4 사이즈 보다도 더...다른거 해주고  아이들 엄마 오기전 출출할때  조각으로 나눠 데워 먹으라고 할인 한다기에 시켰더니..
완전 낚였구나.. 비교해보니 왠걸..콜라 추가 해서도 27천원이었단는거..
저는 이젠 절대로 안 할려구여..
8천원 할인말에 넘어간 구매자였습니다."
607,lo**님,2020년 7월 25일,1,1,5,싱겁고... 작고... 고구마피자 맞는지 의문일 정도이고...
608,   손님,2020년 7월 24일,5,5,5,저렴하게 구매 잘했네요
609,di**님,2020년 7월 22일,5,5,5,맛있게 먹었습니다.
610,ps**님,2020년 7월 21일,5,5,5,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ
611,fr**님,2020년 7월 18일,5,5,5,"피자 맛있었습니다
마요네즈 요청 들어주셔서 감사합니다"
612,ni**님,2020년 7월 18일,4,5,5,잘먹엇습니다~~~~~~~
613,hj**님,2020년 7월 13일,5,4,4,도미노피자도미노피자
614,   손님,2020년 7월 11일,3,3,3,치즈가 너무 적었습니다....
615,u1**님,2020년 7월 9일,5,5,5,배송 엄청 빨리 왔어요 ㅏ맛있어용ㅎㅎㅎㅎㅎㅎㅎㅎㅎ
616,dn**님,2020년 7월 8일,5,5,5,피자는역시 도미노피자
617,   손님,2020년 7월 6일,5,5,5,너무 맛있고 배달도 시간보다  빨리와서 따뜻 한 상태로 진짜 맛나게 먹었습니다~
618,ih**님,2020년 7월 5일,5,5,5,혼자 남기지않고 먹으려 시켰는데 딱 좋았어요
619,   손님,2020년 7월 4일,5,5,5,배달도 진짜 빠르고 흠잡을데가 없네요~ 앞으로 많이 이용할게요~~
620,   손님,2020년 6월 30일,5,5,5,배달도 빨리 오고 맛도 너무 조아요~~ 사업 번창하세요~~
621,gr**님,2020년 6월 30일,5,5,5,배달이 엄청 빨랐어요. 따뜻하게 맛있게 먹었어요
622,64**님,2020년 6월 28일,5,5,5,good good good
623,sk**님,2020년 6월 26일,5,5,5,배달도 빠르고 맛나요
624,zz**님,2020년 6월 26일,5,5,5,맛있어요. 배달도 빠르고 양도 많아요.
625,ke**님,2020년 6월 23일,5,5,5,배달이 빠르니 음식이 식지 않아 따뜻해서 맛있게 먹었습니다
626,de**님,2020년 6월 16일,5,5,5,빠르고 맛있었습니다.
627,ba**님,2020년 6월 15일,5,5,5,"빠른배달 감사합니다
배달후 연락도 주셔서 바로 먹었답니다"
628,di**님,2020년 6월 8일,5,5,5,맛있게 먹었습니다.
629,   손님,2020년 6월 6일,5,5,5,맛있었어요~ 순삭했네요ㅎㅎㅎ
630,at**님,2020년 5월 24일,5,5,5,배달 빠르고요 너무 맛있어요...
631,ho**님,2020년 5월 20일,5,5,5,잘먹었습니다~~~~~
632,so**님,2020년 5월 18일,4,4,4,배달도 빠르구 맛있어요~~
