,아이디,날짜,맛평점,양평점,배달평점,리뷰
101,dp**님,2022년 7월 5일,5,5,5,피자는 피자샵~! 토핑빵빵 뜨끈뜨근 아주 맛있어요
102,ds**님,2022년 7월 3일,5,5,5,맛있어요 ㅎㅎㅎㄹㄹ
103,fo**님,2022년 7월 3일,5,5,5,맛이 좋습니다 자주 시텨먹갰읍니다
104,yo**님,2022년 7월 1일,5,5,5,맛있게 먹었습니다~!!!!!
105,wh**님,2022년 7월 1일,5,5,5,맛있습니다 다음에 또 주문하겠습니다
106,ch**님,2022년 7월 1일,5,5,5,조합이 참 좋았습니다.
107,xu**님,2022년 6월 30일,5,4,5,4가지 맛을 한번에 먹을 수 있어서 너무 좋고 맛도 넘 맛있어요 ! !
108,cs**님,2022년 6월 29일,5,5,5,피자 맛있게 잘 먹었어요!!^^
109,ss**님,2022년 6월 29일,5,5,5,ㅇ왕빠르게와서 왕맛있게 먹었습니다
110,ha**님,2022년 6월 29일,5,5,5,언제나믹고먹는 반알림피자샵
111,es**님,2022년 6월 24일,5,5,5,"불고기랑 새우피자 간이 초큼 쎄욥
나머지 피자는 넘 마이쪄요 
담에는 반반으로 무그야짘ㄱㄱㄱㄱㄱ마이쪙"
112,fo**님,2022년 6월 23일,5,5,5,아들이진짜좋아하는피자집이네
113,ss**님,2022년 6월 22일,5,5,5,"가성비좋네요 
맛있어요"
114,to**님,2022년 6월 20일,5,5,5,맛있습니다
115,cl**님,2022년 6월 19일,5,5,5,맛있어요~ 배달도 예상시간보다 일찍왔네요
116,nc**님,2022년 6월 19일,5,5,5,양도 많고 맛도 좋고 만족합니다. 배달기사분도 친절하셔서 좋습니다. 아쉬운건 음료가 없다는겁니다ㅠㅠ
117,yo**님,2022년 6월 17일,5,5,5,맛있게먹었습다~!!!!!
118,dp**님,2022년 6월 16일,5,5,5,피자샵 맛있어요! 근데 요기요는 리뷰이벤트가 엄나바효ㅠㅠ
119,fr**님,2022년 6월 15일,5,5,5,맛잇어요 피자샵ㅎㅎ
