,아이디,날짜,맛평점,양평점,배달평점,리뷰
57,sa**님,2022년 7월 9일,5,5,5,배달 빨리와서 놀랐어요! 너무 맛있게 잘 먹었습니다^^
58,to**님,2022년 6월 25일,5,5,5,"항상 변함없는맛..감사합니다...(^_^)
새로워진 군만두 맘에듭니다..ㅎㅎ"
59,su**님,2022년 6월 19일,5,5,5,배달도 빠르고 맛있어요
60,do**님,2022년 6월 14일,5,5,5,맛있어요 굿굿굿 👍
61,to**님,2022년 6월 13일,5,5,5,맛있게 잘먹었어요
62,   손님,2022년 6월 11일,5,5,5,빠른 배달 맛과 양 모두 만족
63,pi**님,2022년 6월 8일,5,5,5,"요청 사항도 잘 들어주시고 너무 좋았습니다
매주 한번은 꼭 먹는거같아요!"
64,to**님,2022년 6월 6일,5,5,5,"쫄깃 바삭한 탕수육..강추..!""
짜장밥 계란이 정말 두툼하네요ㅎㅎ"
65,kh**님,2022년 5월 29일,5,4,5,빠르고 맛있었어요~~~~^^
66,bl**님,2022년 5월 29일,5,5,5,배달 무척 빠르고 매번 맛있어요!!
67,kd**님,2022년 5월 28일,5,5,5,빠른 배달과 짬뽕은 면이 따로와서 너무 좋은것 같아요^^
68,ru**님,2022년 5월 24일,5,5,5,맛있어요 빨리왔어요
69,st**님,2022년 5월 20일,5,5,5,오늘도 잘 먹었습니다
70,jj**님,2022년 5월 20일,5,5,5,"넘 맛나게 잘 먹었습니다.
빠르게 뜨겁게 배달해주셔서 감사해요~"
71,hq**님,2022년 5월 19일,5,5,5,맛있게 잘 먹었습니다 :)
72,tj**님,2022년 5월 19일,5,5,5,"제가 꽃빵 진짜 사랑하는데 여기 꽃빵 너무 맛있어요ㅠㅠ
탕수육도 완전 겉바속촉🥺 배달도 빠르고 최고입니당!"
73,dd**님,2022년 5월 19일,5,5,5,국물맛이 변함없이 항상 일정해서 너무 좋습니다. 감사합니다
74,dd**님,2022년 5월 19일,5,5,5,항상 맛있습니다. 이틀 연속 먹었네요 ^^
75,so**님,2022년 5월 19일,5,5,5,"양도 넉넉해서 푸짐하게 잘먹었습니다.
전화받으시는 여직원님도 친절하게 응대해 주셨어요~"
76,pp**님,2022년 5월 18일,5,5,5,배달 빨라요~ 새 메뉴 고기짬뽕 맛있네요 ^^
77,ro**님,2022년 5월 16일,5,5,5,"홍콩반점 음식은 항상 깔끔해서 좋아요.
바삭한 탕수육과 자장면 맛있게 먹었네요."
78,id**님,2022년 5월 15일,5,5,5,너무너무너무 맛있아용
79,99**님,2022년 5월 15일,5,5,5,배고파서 사진도 못찍고 막 먹다가 ㅎㅎ 면도 하나도 안뿔고 와서 넘 좋았어요
80,yo**님,2022년 5월 5일,3,3,1,"면 불었음
배달,, 할말하않"
